Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2018-02-25,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,790,219,50%,87,22.08,22.07,1092,43.31,,
2018-02-25,On Demand,Matt Wilpers,45,Cycling,Music,45 min Pop Ride,0,0,41%,0,0,0,0,,,
2018-03-01,On Demand,Emma Lovewell,45,Cycling,Groove,45 min Groove Ride,602,223,55%,77,22.24,16.67,832,,,
2018-03-03,On Demand,Robin Arzon,60,Cycling,Music,60 min Metrics Ride,838,233,52%,85,22.62,22.60,1159,,,
2018-03-07,On Demand,Robin Arzon,45,Cycling,Music,45 min Pop Ride,547,203,51%,82,21.44,16.07,756,,,
2018-03-07,On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,33,155,42%,90,19.17,1.14,46,,,
2018-03-10,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,591,219,54%,79,21.87,16.39,817,,,
2018-03-10,On Demand,Robin Arzon,20,Cycling,Climb,20 min Climb Ride,217,196,57%,68,21.09,6.49,300,,,
2018-03-12,On Demand,Matt Wilpers,45,Cycling,Music,45 min Metrics Ride,526,195,49%,85,21.12,15.83,727,,,
2018-03-12,On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,51,169,42%,95,20.01,1.66,70,,,
2018-03-16,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,46,152,44%,85,19.16,1.59,63,,,
2018-03-16,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,564,209,50%,84,21.69,16.26,780,,,
2018-03-16,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,58,196,48%,85,21.15,1.74,81,,,
2018-03-18,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,766,213,50%,86,21.87,21.86,1059,,,
2018-03-18,On Demand,Matt Wilpers,10,Cycling,Cool Down,10 min Cool Down Ride,63,105,36%,91,16.52,2.74,87,,,
2018-03-21,On Demand,Ally Love,10,Cycling,Warm Up,10 min Warm Up Ride,101,169,42%,95,20.03,3.33,140,,,
2018-03-21,On Demand,Jenn Sherman,45,Cycling,Music,45 min Metrics Ride,586,217,50%,88,22.00,16.49,810,,,
2018-03-25,On Demand,Ally Love,10,Cycling,Warm Up,10 min Warm Up Ride,115,192,44%,96,20.98,3.50,159,,,
2018-03-25,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,803,223,51%,86,22.27,22.26,1110,,,
2018-03-27,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,109,182,47%,87,20.58,3.42,151,,,
2018-03-27,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,544,202,52%,80,21.32,15.98,752,,,
2018-03-28,On Demand,Robin Arzon,5,Cycling,Beginner,5 min Intro to Tabata,54,182,47%,87,20.51,1.70,75,,,
2018-03-28,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,602,223,54%,80,22.20,16.63,832,,,
2018-03-28,On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,53,177,45%,91,20.42,1.69,73,,,
2018-03-31,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,59,195,48%,85,21.16,1.76,81,,,
2018-03-31,On Demand,Robin Arzon,60,Cycling,Music,60 min Metrics Ride,825,229,53%,84,22.48,22.47,1140,,,
2018-04-03,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,55,184,48%,83,20.69,1.71,76,,,
2018-04-03,On Demand,Matt Wilpers,45,Cycling,Intervals,45 min Intervals & Arms Ride,553,205,51%,81,21.44,16.07,764,,,
2018-04-06,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,167,46%,84,19.93,3.30,138,,,
2018-04-06,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,528,196,49%,84,21.14,15.85,729,,,
2018-04-09,On Demand,Hannah Corbin,10,Cycling,Climb,10 min Climb Ride,115,193,56%,70,20.98,3.49,160,,,
2018-04-09,On Demand,Alex Toussaint,45,Cycling,Music,45 min Metrics Ride,606,225,53%,83,22.30,16.71,837,,,
2018-04-12,On Demand,Jennifer Jacobs,5,Cycling,Beginner,5 min Intro to HIIT,50,167,45%,86,19.82,1.65,69,,,
2018-04-12,On Demand,Cody Rigsby,5,Cycling,Beginner,5 min Intro to Climb,56,188,51%,78,20.84,1.72,77,,,
2018-04-12,On Demand,Hannah Corbin,45,Cycling,Music,45 min Metrics Ride,612,227,53%,83,22.39,16.78,846,,,
2018-04-14,On Demand,Christine D'Ercole,10,Cycling,Climb,10 min Climb Ride,121,202,51%,83,21.40,3.56,167,,,
2018-04-14,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,21,186,46%,89,20.73,0.66,29,,,
2018-04-14,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Threshold Ride,843,234,53%,83,22.68,22.67,1165,,,
2018-04-17,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,110,184,48%,84,20.70,3.44,152,,,
2018-04-17,On Demand,Hannah Corbin,45,Cycling,Music,45 min Pop Ride,564,209,51%,83,21.70,16.27,780,,,
2018-04-18,On Demand,Matt Wilpers,5,Cycling,Beginner,5 min Intro to Power Zone,59,199,46%,92,21.28,1.75,82,,,
2018-04-18,On Demand,Jenn Sherman,45,Cycling,Music,45 min Metrics Ride,641,237,52%,86,22.75,17.05,885,,,
2018-04-18,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,47%,83,20.14,3.35,144,,,
2018-04-29,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,120,201,50%,82,21.36,3.55,166,,,
2018-04-29,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Threshold Ride,814,226,52%,85,22.37,22.37,1125,,,
2018-05-01,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,46%,85,20.23,3.36,144,,,
2018-05-01,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,547,203,52%,79,21.37,16.02,756,,,
2018-05-04,On Demand,Hannah Corbin,10,Cycling,Climb,10 min Climb Ride,115,192,57%,69,20.96,3.49,159,,,
2018-05-04,On Demand,Matt Wilpers,45,Cycling,Music,45 min Metrics Ride,578,214,51%,83,21.90,16.41,798,,,
2018-05-09,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,97,162,46%,84,19.67,3.27,134,,,
2018-05-09,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,610,226,56%,77,22.29,16.71,844,,,
2018-05-10,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,101,168,47%,83,20.00,3.32,139,,,
2018-05-10,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,566,210,49%,88,21.69,16.26,782,,,
2018-05-12,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,122,204,48%,89,21.49,3.57,169,,,
2018-05-12,On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,305,254,55%,82,23.40,7.79,422,,,
2018-05-12,On Demand,Matt Wilpers,45,Cycling,Music,45 min New Tracks Ride,614,227,52%,86,22.40,16.79,848,,,
2018-05-13,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,111,185,47%,87,20.73,3.46,153,,,
2018-05-13,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,35,190,45%,92,20.99,1.07,48,,,
2018-05-13,On Demand,Robin Arzon,45,Cycling,Music,45 min Metrics Ride,642,238,53%,86,22.78,17.07,887,,,
2018-05-15,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,166,47%,81,19.91,3.31,138,,,
2018-05-15,On Demand,Hannah Corbin,30,Cycling,Low Impact,30 min Low Impact Ride,342,190,50%,81,20.95,10.46,472,,,
2018-05-21,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,47%,84,20.28,3.36,144,,,
2018-05-21,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,571,212,49%,87,21.78,16.33,789,,,
2018-05-21,On Demand,Hannah Corbin,10,Cycling,Cool Down,10 min Cool Down Ride,113,189,48%,85,20.91,3.47,156,,,
2018-05-24,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,116,195,47%,88,21.14,3.50,161,,,
2018-05-24,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,602,223,50%,88,22.24,16.67,832,,,
2018-05-25,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,122,204,47%,91,21.52,3.58,169,,,
2018-05-25,On Demand,Robin Arzon,45,Cycling,Music,45 min Electronic Dance/EDM Ride,620,230,53%,84,22.50,16.86,857,,,
2018-05-25,On Demand,Jenn Sherman,10,Cycling,Cool Down,10 min Cool Down Ride,89,149,42%,89,18.97,3.14,123,,,
2018-05-28,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,115,192,47%,89,21.06,3.51,159,,,
2018-05-28,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,842,234,51%,88,22.68,22.67,1164,,,
2018-05-29,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,106,176,47%,84,20.36,3.39,146,,,
2018-05-29,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,609,226,54%,80,22.32,16.72,842,,,
2018-06-01,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,107,178,46%,87,20.45,3.40,147,,,
2018-06-01,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,556,206,50%,85,21.60,16.19,768,,,
2018-06-02,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,59,196,48%,87,21.21,1.76,81,,,
2018-06-02,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Endurance Ride,807,224,52%,84,22.31,22.30,1116,,,
2018-06-02,On Demand,Hannah Corbin,10,Cycling,Cool Down,10 min Cool Down Ride,88,148,43%,87,19.01,3.16,122,,,
2018-06-05,On Demand,Jenn Sherman,10,Cycling,Climb,10 min Climb Ride,117,195,54%,74,21.11,3.51,161,,,
2018-06-05,On Demand,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,631,234,50%,91,22.55,16.90,873,,,
2018-06-06,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,47%,83,20.20,3.36,144,,,
2018-06-06,On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,583,216,50%,87,21.98,16.48,806,,,
2018-06-11,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,107,178,46%,85,20.14,3.34,147,,,
2018-06-11,On Demand,Emma Lovewell,45,Cycling,Music,45 min Metrics Ride,626,232,55%,81,22.58,16.93,866,,,
2018-06-13,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,108,179,49%,80,20.50,3.42,149,,,
2018-06-13,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,618,229,53%,83,22.40,16.79,854,,,
2018-06-14,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,110,185,49%,83,20.73,3.44,153,,,
2018-06-14,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,591,219,51%,86,22.07,16.54,817,,,
2018-06-16,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,113,189,49%,83,20.91,3.48,156,,,
2018-06-16,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,839,233,50%,90,22.63,22.62,1160,,,
2018-06-19,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,106,177,50%,77,20.37,3.39,146,,,
2018-06-19,On Demand,Ally Love,15,Cycling,Music,15 min Metrics Ride,211,235,53%,84,22.64,5.65,292,,,
2018-06-21,On Demand,Jennifer Jacobs,10,Cycling,Low Impact,10 min Low Impact Ride,109,183,48%,84,20.63,3.43,151,,,
2018-06-21,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,644,239,54%,83,22.78,17.06,890,,,
2018-06-22,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,105,176,47%,85,20.35,3.39,146,,,
2018-06-22,On Demand,Hannah Corbin,45,Cycling,Intervals,45 min Intervals & Arms Ride,601,223,52%,85,22.23,16.66,831,,,
2018-06-24,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,114,190,47%,88,20.96,3.48,157,,,
2018-06-24,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,784,218,49%,89,22.07,22.07,1083,,,
2018-06-26,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,101,168,46%,85,19.98,3.33,139,,,
2018-06-26,On Demand,Matt Wilpers,45,Cycling,Music,45 min New Tracks Ride,601,223,54%,80,22.24,16.67,831,,,
2018-06-29,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,124,207,49%,88,21.59,3.59,172,,,
2018-06-29,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,637,236,52%,87,22.70,17.01,881,,,
2018-07-01,On Demand,Christine D'Ercole,5,Cycling,Warm Up,5 min Warm Up Ride,56,185,46%,90,20.75,1.73,77,,,
2018-07-01,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,826,230,49%,94,22.52,22.51,1142,,,
2018-07-01,On Demand,Hannah Corbin,10,Cycling,Cool Down,10 min Cool Down Ride,93,155,46%,82,19.35,3.21,129,,,
2018-07-03,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,102,170,46%,85,20.10,3.35,141,,,
2018-07-03,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Intervals & Arms Ride,651,241,53%,85,22.86,17.14,897,,,
2018-07-05,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,93,157,46%,82,19.46,3.23,129,,,
2018-07-05,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,631,234,52%,86,22.57,16.92,870,,,
2018-07-07,On Demand,Christine D'Ercole,10,Cycling,Warm Up,10 min Warm Up Ride,113,188,48%,86,20.80,3.47,155,,,
2018-07-07,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Endurance Ride,792,220,52%,84,22.16,22.14,1091,,,
2018-07-10,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,92,153,47%,79,19.28,3.20,126,,,
2018-07-10,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,618,229,54%,81,22.30,16.72,851,,,
2018-07-12,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,96,160,45%,84,19.60,3.26,132,,,
2018-07-12,On Demand,Hannah Corbin,45,Cycling,Intervals,45 min Intervals & Arms Ride,558,207,51%,82,21.53,16.13,769,,,
2018-07-15,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,115,193,49%,83,21.08,3.51,159,,,
2018-07-15,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,834,232,49%,92,22.57,22.56,1149,,,
2018-07-20,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,104,173,47%,84,20.15,3.35,143,,,
2018-07-20,On Demand,Ally Love,45,Cycling,Music,45 min Metrics Ride,596,221,52%,85,22.11,16.57,821,,,
2018-07-21,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,106,178,48%,84,20.44,3.39,147,,,
2018-07-21,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,136,227,48%,93,22.38,3.72,187,,,
2018-07-21,On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,324,270,54%,89,23.95,7.97,446,,,
2018-07-21,On Demand,Hannah Corbin,30,Cycling,Intervals,30 min Intervals & Arms Ride,381,212,54%,77,21.60,10.79,525,,,
2018-07-24,On Demand,Christine D'Ercole,10,Cycling,Warm Up,10 min Warm Up Ride,122,204,47%,92,21.50,3.57,168,,,
2018-07-24,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,653,242,59%,75,22.86,17.14,899,,,
2018-07-25,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,101,168,47%,82,19.98,3.32,139,,,
2018-07-25,On Demand,Emma Lovewell,45,Cycling,Low Impact,45 min Low Impact Ride,571,211,52%,81,21.79,16.33,786,,,
2018-07-27,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,103,172,48%,79,20.17,3.35,142,,,
2018-07-27,On Demand,Ally Love,45,Cycling,Intervals,45 min Intervals Ride,602,223,52%,84,22.21,16.65,830,,,
2018-07-30,On Demand,Christine D'Ercole,10,Cycling,Warm Up,10 min Warm Up Ride,106,177,46%,86,20.30,3.37,146,,,
2018-07-30,On Demand,Robin Arzon,45,Cycling,Music,45 min Metrics Ride,581,215,52%,82,21.92,16.44,801,,,
2018-08-01,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,100,168,49%,76,19.45,3.23,138,,,
2018-08-01,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,621,230,56%,77,22.39,16.79,855,,,
2018-08-04,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,108,181,49%,81,20.57,3.42,149,,,
2018-08-04,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,813,226,51%,86,22.32,22.31,1120,,,
2018-08-05,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,113,189,49%,83,20.91,3.48,156,,,
2018-08-05,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,822,228,50%,88,22.45,22.45,1133,,,
2018-08-08,On Demand,Christine D'Ercole,10,Cycling,Warm Up,10 min Warm Up Ride,104,174,45%,89,20.23,3.37,144,,,
2018-08-08,On Demand,Robin Arzon,45,Cycling,Music,45 min Metrics Ride,586,217,55%,77,21.95,16.45,807,,,
2018-08-15,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,109,182,50%,80,20.61,3.44,150,,,
2018-08-15,On Demand,Ally Love,45,Cycling,Music,45 min Metrics Ride,593,220,52%,82,22.04,16.53,818,,,
2018-08-16,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,3,169,45%,88,20.03,0.09,4,,,
2018-08-16,On Demand,Christine D'Ercole,10,Cycling,Warm Up,10 min Warm Up Ride,122,204,49%,86,21.48,3.58,169,,,
2018-08-16,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,636,236,57%,76,22.62,16.96,876,,,
2018-08-19,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,112,188,49%,84,20.87,3.47,155,,,
2018-08-19,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,771,214,49%,88,21.88,21.88,1062,,,
2018-08-22,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,103,171,44%,92,20.13,3.35,141,,,
2018-08-22,On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals Ride,604,224,51%,85,22.15,16.60,832,,,
2018-08-23,On Demand,Denis Morton,10,Cycling,Power Zone,10 min FTP Warm Up Ride,111,185,47%,87,20.67,3.43,153,,,
2018-08-23,On Demand,Jenn Sherman,45,Cycling,Music,45 min Metrics Ride,405,219,53%,81,22.04,11.30,558,,,
2018-08-25,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,115,192,46%,90,21.04,3.50,158,,,
2018-08-25,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,832,231,51%,88,22.58,22.58,1147,,,
2018-08-27,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,97,162,46%,83,19.69,3.28,134,,,
2018-08-27,On Demand,Emma Lovewell,45,Cycling,Music,45 min Metrics Ride,599,222,54%,80,22.21,16.65,826,,,
2018-08-31,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,108,179,44%,94,20.50,3.42,148,,,
2018-08-31,On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals Ride,608,225,52%,85,22.25,16.68,838,,,
2018-09-09,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,118,197,46%,91,21.25,3.54,163,,,
2018-09-09,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,836,232,52%,86,22.60,22.59,1152,,,
2018-09-11,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,99,165,44%,88,19.83,3.30,136,,,
2018-09-11,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,611,226,54%,80,22.26,16.69,842,,,
2018-09-13,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,110,184,51%,78,20.68,3.43,152,,,
2018-09-13,On Demand,Jenn Sherman,45,Cycling,Music,45 min Metrics Ride,601,223,52%,85,22.21,16.65,828,,,
2018-09-15,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,109,183,47%,86,20.65,3.43,151,,,
2018-09-15,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,825,229,52%,85,22.50,22.49,1136,,,
2018-09-15,On Demand,Robin Arzon,10,Cycling,Cool Down,10 min Cool Down Ride,101,169,49%,77,19.79,3.29,140,,,
2018-09-18,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,96,161,45%,84,19.63,3.26,132,,,
2018-09-18,On Demand,Ally Love,45,Cycling,Music,45 min Metrics Ride,589,218,52%,83,22.02,16.51,812,,,
2018-09-19,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,167,45%,88,19.94,3.32,138,,,
2018-09-19,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,613,227,56%,76,22.30,16.72,844,,,
2018-09-22,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,104,173,45%,88,20.21,3.37,143,,,
2018-09-22,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,828,230,51%,87,22.51,22.50,1141,,,
2018-09-23,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,106,178,47%,85,20.43,3.39,146,,,
2018-09-23,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,655,243,55%,81,22.88,17.15,902,,,
2018-09-23,On Demand,Robin Arzon,15,Cycling,Music,15 min Pop Ride,204,227,55%,77,22.36,5.58,281,,,
2018-09-26,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,167,44%,88,19.96,3.31,138,,,
2018-09-26,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,605,224,53%,82,22.21,16.65,834,,,
2018-09-29,On Demand,Emma Lovewell,10,Cycling,Low Impact,10 min Low Impact Ride,120,201,50%,83,21.39,3.55,166,,,
2018-09-29,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,837,233,50%,89,22.62,22.61,1154,,,
2018-10-01,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,103,172,45%,89,20.18,3.37,142,,,
2018-10-01,On Demand,Emma Lovewell,45,Cycling,Music,45 min Metrics Ride,567,210,54%,78,21.68,16.24,781,,,
2018-10-04,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,167,45%,87,19.95,3.32,138,,,
2018-10-04,On Demand,Ally Love,45,Cycling,Music,45 min Metrics Ride,571,212,53%,80,21.74,16.29,787,,,
2018-10-06,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,106,178,45%,89,20.44,3.39,147,,,
2018-10-06,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,640,237,55%,81,22.59,16.93,882,,,
2018-10-07,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,112,187,46%,90,20.82,3.46,154,,,
2018-10-07,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,857,238,54%,83,22.82,22.82,1181,,,
2018-10-11,On Demand,Emma Lovewell,10,Cycling,Low Impact,10 min Low Impact Ride,110,185,47%,87,20.68,3.43,152,,,
2018-10-11,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,619,229,54%,80,22.34,16.75,852,,,
2018-10-14,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,115,193,46%,92,21.08,3.50,159,,,
2018-10-14,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,825,231,52%,85,22.55,22.37,1137,,,
2018-10-15,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,101,169,48%,81,20.03,3.33,139,,,
2018-10-15,On Demand,Ally Love,45,Cycling,Theme,45 min Boss Ride,622,231,53%,84,22.51,16.88,857,,,
2018-10-17,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,102,171,44%,90,20.12,3.34,141,,,
2018-10-17,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,606,225,51%,85,22.14,16.59,835,,,
2018-10-23,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,102,171,48%,82,20.12,3.35,141,,,
2018-10-23,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,591,219,53%,80,21.86,16.39,814,,,
2018-10-24,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,111,185,47%,86,20.75,3.45,153,,,
2018-10-24,On Demand,Ally Love,45,Cycling,Theme,45 min Boss Ride,626,232,53%,83,22.61,16.93,863,,,
2018-10-27,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,115,192,46%,91,21.05,3.51,159,,,
2018-10-27,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,657,243,57%,77,22.90,17.17,905,,,
2018-10-28,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,105,175,45%,88,20.33,3.38,145,,,
2018-10-28,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,603,223,51%,86,22.25,16.68,830,,,
2018-10-30,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,107,179,46%,87,20.48,3.40,147,,,
2018-10-30,On Demand,Emma Lovewell,45,Cycling,Music,45 min Metrics Ride,569,211,54%,77,21.68,16.25,784,,,
2018-11-02,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,107,179,46%,88,20.48,3.40,147,,,
