Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-11-15,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,203,226,47%,96,22.02,5.50,279,,,
2020-11-15,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1374,254,54%,86,23.33,34.99,1881,,,
2020-11-17,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,214,238,48%,96,22.40,5.59,293,,,
2020-11-17,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,975,271,53%,89,23.75,23.74,1335,,,
2020-11-18,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,211,235,48%,97,22.46,5.60,289,,,
2020-11-18,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,923,257,54%,86,23.37,23.36,1264,,,
2020-11-19,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,211,235,48%,95,22.34,5.58,289,,,
2020-11-19,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,982,273,53%,89,23.65,23.65,1345,,,
2020-11-20,On Demand,Matt Wilpers,20,Cycling,Low Impact,20 min Low Impact Ride,222,185,45%,93,20.68,6.89,304,,,
2020-11-20,On Demand,Matt Wilpers,20,Cycling,Low Impact,20 min Low Impact Ride,235,196,52%,79,21.16,7.05,321,,,
2020-11-21,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,222,247,49%,96,22.77,5.69,304,,,
2020-11-21,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,704,261,51%,87,22.34,16.75,963,,,
2020-11-22,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,890,247,52%,90,23.02,23.02,1218,,,
2020-11-22,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,918,255,56%,82,23.40,23.40,1257,,,
2020-11-24,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,219,243,49%,95,22.70,5.66,299,,,
2020-11-24,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,718,266,51%,88,22.66,16.99,983,,,
2020-11-24,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,58,147,47%,78,18.54,2.03,79,,,
2020-11-25,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,204,226,47%,97,22.09,5.52,279,,,
2020-11-25,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,1167,259,54%,87,23.52,29.40,1598,,,
2020-11-26,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,217,242,48%,96,22.62,5.65,298,,,
2020-11-26,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,970,269,52%,90,23.45,23.45,1328,,,
2020-11-28,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,219,243,48%,97,22.71,5.67,299,,,
2020-11-28,On Demand,Olivia Amato,45,Cycling,Power Zone,45 min Power Zone Ride,781,289,54%,90,24.01,18.00,1069,,,
2020-11-28,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,44,166,51%,72,19.41,1.42,60,,,
2020-11-29,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,207,230,47%,97,22.22,5.55,283,,,
2020-11-29,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1367,253,52%,90,23.28,34.92,1871,,,
2020-12-01,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,217,241,48%,97,22.57,5.64,297,,,
2020-12-01,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,738,274,52%,89,23.14,17.35,1011,,,
2020-12-01,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,167,46%,83,19.79,3.29,137,,,
2020-12-02,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,203,226,47%,96,22.05,5.51,279,,,
2020-12-02,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,106,214,46%,96,21.67,2.99,145,,,
2020-12-02,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,959,266,54%,90,23.78,23.77,1313,,,
2020-12-03,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,211,235,48%,94,22.37,5.59,289,,,
2020-12-03,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,763,283,52%,91,23.66,17.74,1045,,,
2020-12-03,On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,157,175,51%,74,19.97,4.97,215,,,
2020-12-05,On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,179,199,51%,81,21.29,5.32,245,,,
2020-12-05,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,233,259,49%,97,23.31,5.82,319,,,
2020-12-05,On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,435,363,60%,91,26.70,8.89,595,,,
2020-12-05,On Demand,Matt Wilpers,20,Cycling,Music,20 min Pop Ride,127,219,53%,81,21.58,3.47,174,,,
2020-12-06,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,914,254,53%,89,23.32,23.31,1252,,,
2020-12-06,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,913,254,54%,87,23.35,23.35,1250,,,
2020-12-08,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,223,248,49%,94,22.89,5.71,306,,,
2020-12-08,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,991,275,53%,91,23.91,23.90,1357,,,
2020-12-09,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,213,237,48%,96,22.48,5.61,292,,,
